"Gap Analysis - missing rice-specific parameters, surrogates & next experiments",,,,,
"'LEADS, verify' = named source is a lead I did NOT confirm this session; obtain/verify before use (per your no-fabrication rule). Deferred categories (C2/C4/C5/C6) included for completeness.",,,,,
parameter <-> symbol,category,rice-specific data?,best transferable surrogate,recommended experiment / action,priority
"Compartment-resolved TF (root->stem->leaf->husk->grain) / RCF, SSCF",C1,Partial - most rice field data is grain-only or grain+soil; full compartment-resolved TF under flooding is rare,Greenhouse paddy-rice dose study (J. Hazard. Mater. 2026); wheat-soil compartment data (Lan 2018),"Greenhouse pot time-series; harvest root/straw/husk/brown/polished separately, paired porewater each timepoint; fit your 4-compartment TFs directly",HIGH
Grain BAF chain-length slope (verified),C1,"Yes (trend), but the numeric per-CF2 slope source (Liu 2017) is DOI-unverified","Liu 2019 (verified, qualitative); Lesmeister 2021 (up to 1.16 log/CF2)",Re-extract slope from a verified primary dataset; or fit from your own paired field data,MEDIUM
"Replacements: HFPO-DA/GenX, F-53B (6:2 Cl-PFESA), 6:2 FTS in rice",C1,Very sparse - GenX only in one controlled paddy study; F-53B / 6:2 FTS essentially no rice FIELD data,None adequate; GenX paddy study is the only anchor,Targeted analysis with authentic standards (you already procured PFAC30PAR via Wellington/BK Scientific; add 6:2 Cl-PFESA & HFPO-DA standards),HIGH
Dose-response / time-series in rice,C1,Rare (the 2026 paddy study is the main one),Controlled greenhouse dosing studies in other cereals,Multi-dose pot series spanning environmental + elevated soil concentrations,MEDIUM
Anoxic / flooded (negative Eh) sorption isotherms in paddy soil,C3,GAP - all isotherms located are aerobic batch (CaCl2),Aerobic paddy-soil isotherms (Qian/Wang 2020) as a starting point only,Anoxic batch sorption at controlled Eh (glovebox/N2); track Fe(II) release & PFAS desorption to quantify Fe-oxide-bound pool feeding C_free,HIGH
Freundlich exponent n for short-chain PFCAs in paddy soil,C3,Partial - linearity often assumed at environmental concentrations,Multi-point isotherms in paddy fractions (Qian/Wang 2020),Multi-point isotherms over the environmental concentration range for C4-C6 PFCAs,MEDIUM
Koc/K_F including clay term for short-chain,C3,"Indirect (agricultural, not paddy)","Jakobsen 2026 (OC+clay model, verified)",Re-fit OC+clay model on paddy soils specifically,MEDIUM
Ether/sulfonamide soil Koc head-group term (KOC_ETHER_LOG_OFFSET) [structure adapter src/literature_params.koc],C3,GAP - no measured ether-PFAS (PFECA) or sulfonamide paddy Koc; Higgins&Luthy per-CF2 slope is PFCA/PFSA only,GenX/HFPO-DA soil mobility studies (LEADS - verify); carboxylate Koc as first-pass approximation,"Batch Koc for ether-PFCAs (GenX/ADONA/HFPO-TA) and FOSA-type sulfonamides on paddy soil; fit a per-ether-O / sulfonamide offset. Currently KOC_ETHER_LOG_OFFSET=0 (=carboxylate). NOTE: GenX BCF over-prediction was fixed by the f_xy recalibration, not Koc.",MEDIUM
"Tier-0 forcing: biomass partitioning, transpiration/ET, LAI, harvest index (Q_TP(t), M_k(t))","NOW COVERED this session - see 'C2_Growth_Water_Forcing' tab (partitioning, HI, R/S, LAI, Kc/ET, duration + crop-model route).",Available outside PFAS literature,ORYZA2000 / DSSAT-CERES-Rice crop models; FAO-56 ET; AmP (Add-my-Pet) for allometry (LEADS - verify),Key caution (C2 tab): use TRANSPIRATION component (not total ETc) for Q_TP; use Korean-japonica cultivar params. Pull rice growth/ET/LAI curves from a calibrated crop model for your cultivar & climate,done
"Tier-3 B_k partition: protein-water, phospholipid/membrane-water (K_mw), cell-wall sorption","NOW COVERED this session - see 'C4_Tissue_Binding_QSPR' tab (K_prot, K_PL, K_cw + per-CF2 QSPR). Residual gaps below.","PFAS-specific values exist for proteins/liposomes, not for rice tissues","Serum-albumin Kd & liposome-water K_mw QSPRs (e.g. Droge; Allendorf - LEADS, verify DOIs)",See C4 tab gaps: extract absolute per-congener K from SI; rice storage-protein K_prot; quantitative K_cw (pectin/hemicellulose). Use measured K_prot / K_PL QSPRs; estimate plant cell-wall sorption from cellulose/lignin analogs,HIGH
Ether/sulfonamide membrane-binding K_PL head-group QSPR (KPL_ETHER_LOG_OFFSET; single GenX anchor) [structure adapter src/literature_params.k_pl],C4,"Partial - the per-ether-O K_PL term rests on ONE measured anchor (GenX K_MW, Chen2025 -> -0.49 log/ether-O); sulfonamide K_PL slope has NO data (uses the carboxylate slope)","Chen2025 K_MW ether/telomer offsets (the GenX point only); FOSA/sulfonamide liposome K_MW (LEADS - verify)",Measure K_MW for more ether-PFAS to multi-anchor the -0.49 log/ether-O offset and for perfluorosulfonamides (FOSA) to set a sulfonamide slope (currently carboxylate),MEDIUM
"Tier-2 membrane: root E_m (Nernst/GHK), carrier V_max/K_m, anion TSCF/RCF, phloem L_Ph/Pi","NOW COVERED this session - see 'C5_Membrane_Translocation' tab (E_m, carrier kinetics, anion TSCF, phloem). Residual gaps below.",Anion-specific PFAS transporter kinetics in plants largely absent,"Plant root membrane potential ~ -120 to -180 mV (general plant electrophysiology - verify); non-ionic TSCF models (Briggs 1982; Dettenmaier 2009 - LEADS, verify, and they are NON-ionic so adapt with GHK)","See C5 tab gaps: rice V_max/K_m, in-situ paddy E_m, PFAS phloem->grain transporter, anion-specific f_xy via GHK. Adopt a plausible E_m for the GHK exclusion term; treat carrier kinetics as fitted parameters constrained by short-chain uptake excess",HIGH
"Tier-0 physchem: pKa (justify f_d=~1), P_d, aqueous diffusivity","NOW COVERED this session - see 'C6_Physchem' tab (pKa/f_d, P_d, D_aq, anion partitioning). pKa/f_d is settled.",Well established for PFCA/PFSA,"PFCA pKa ~0-1, PFSA pKa <0 (literature) -> f_d=~1 at paddy pH 5-7; P_d from liposome permeability surrogates","Tabulate per-species pKa, MW, aqueous diffusion coefficient; confirm f_d=~1 over your pH range",done
