Acquisition queue - papers to OBTAIN (this repo cannot fetch them),,,,,,
"Every academic host is blocked by this environment's network egress policy (journals.plos.org, PMC, Europe PMC, doi.org, Crossref all refused), so these must be supplied out-of-band, the way DPU4OC.zip was. Papers ALREADY in hand are NOT listed here - see docs/neutral_dpu_validation.md section 5 for those.",,,,,,
,,,,,,
"doi_status legend: verified = the DOI was confirmed against the article; search-only = identified via web search but the article itself was never opened, so the DOI is a lead, not a confirmation; unverified = recorded from a secondary reference; none = no DOI exists or none was found (use the bibliographic details).",,,,,,
,,,,,,
priority,what_it_unlocks,reference,doi,doi_status,what_to_extract,notes
A1,"Rice ROOT total lipid - the top-ranked gap. K_PW is LINEAR in it, so it directly conditions the a-priori 0.281. Currently Trapp 1994's SOYBEAN value (root 1% fw).","Li, Chiou, Li & Schnoor 2019, Environ. Int. 126:46-53, ""Improved prediction of the bioconcentration factors of organic contaminants from soils into plant/crop roots by related physicochemical parameters""",10.1016/j.envint.2019.02.020,search-only,"THE SI, not just the article. Its dataset inclusion criterion was studies reporting crop root lipid content, so the SI should carry a per-crop root lipid table. Check whether rice is in it, and on which weight basis.","BEST candidate for the root, because its lipid is defined in an RCF-modelling context - the same operational meaning as the L in K_PW = W + L*a*Kow^b. Caution: the search summary that produced this DOI appeared to blend this paper with an unrelated maize pesticide study, so confirm the title on receipt."
A2,"Rice STRAW (stem+leaf) lipid, with the weight basis stated.","Rosado, Marques, Rencoret, Gutierrez & del Rio 2022, Front. Plant Sci. 13:868319, ""Chemical Composition of Lipophilic Compounds From Rice (Oryza sativa) Straw""",10.3389/fpls.2022.868319,search-only,"Total lipophilic extractives (reported as 3.4 +/- 0.1 % DRY basis) and the compound breakdown: fatty acids ~6400 mg/kg, free sterols ~1600, sterol glucosides ~1380, fatty alcohols ~1150, triglycerides ~1140.","OPEN ACCESS (Frontiers; also PMC8981202) - the easiest of the list. Read the DEFINITION note at the bottom of this file before adopting the number."
A3,"Test the TSCF QSPR directly instead of through the plant model.","Schriever & Lamshoeft 2020, Sci. Total Environ. 713:136667 - SUPPLEMENTARY INFORMATION ONLY",10.1016/j.scitotenv.2020.136667,verified,The 97 per-compound TSCF values behind their Gaussian refit.,"The ARTICLE is already in hand and its refit is implemented (neutral_dpu.schriever_tscf). Only the SI is missing."
A4,"Settle the open root-partition disagreement: Brunetti 2021's calibrated pea root K_RW = 13.3 vs a Briggs K_PW of ~1.0 for carbamazepine.",Kodesova et al. 2019 ESPR,10.1007/s11356-019-04333-9,unverified,The measured tissue concentrations behind Brunetti 2021's calibration.,"Recorded as DOI-unverified by the previous session. Hwang 2017 (section 4c) now points the SAME direction, so this question has two independent sightings and is the best-evidenced open item against the partition core."
A5,"The bromacil measurements behind Trapp 1994, which are FIGURE-ONLY in Trapp so no RMSE can be computed from them.","McFarlane, Pfleeger & Fletcher 1987, J. Environ. Qual. 16(4):372-376",,none,Tabulated bromacil concentrations by organ and time.,"No DOI found; request by bibliographic details. Trapp 1994 itself is already in hand."
B1,"Corroborates the long-chain LC1/LC2 findings. 5 of the 7 DOIs in that set were obtained out-of-band and read; these 2 were not.",(2025 long-chain PFAS literature),10.1021/acs.est.5c11716,verified,Whatever bears on long-chain root retention vs shoot mobility.,"From sci_adk_review/runs/pfas-rice-longchain/literature/manifest.csv (recorded ""no OA PDF"")."
B2,As B1.,(2025 long-chain PFAS review),10.1139/er-2025-0116,verified,As B1.,As B1.
C1,"The ONLY completely untested compartment on the neutral path, and the food-safety endpoint.",A neutral compound measured in rice GRAIN under ROOT-ONLY exposure,,none,"Brown rice + straw concentrations with a soil or pore-water exposure, and a log Kow.","No paper identified - this is a SEARCH SPEC, not a citation. Submerged or nursery-box application. FOLIAR application is useless here: it tests deposition, not root uptake."
C2,"Bounds the absolute magnitude of the new plant-air exchange term (src/plant_air.py); the flux is LINEAR in it.",Rice tissue SPECIFIC SURFACE AREA per organ,,none,"m^2 per kg FRESH weight for stem, leaf and grain.","No paper identified. The leaf can be derived from SLA; STEM and ROOT are the real gap, and the shipped stem area is 0 so its term is inert. The repo's existing S values are a leaf/grain RATIO for the xylem split, never calibrated as absolute areas."
C3,"Fallback for A1 if its SI does not carry rice.",Rice ROOT total lipid - direct measurement,,none,"Total lipid as a percent, with the weight basis STATED in the text.","Reject any source that does not state fresh vs dry. Proximate ""crude fat / ether extract"" values are NOT interchangeable with the model's L - see the definition note below."
,,,,,,
"DEFINITION NOTE - read before adopting any lipid number.",,,,,,
"The L in K_PW = W + L*a*Kow^b is an OPERATIONALLY DEFINED octanol-like phase calibrated so the expression reproduces measured RCF - it is not a proximate crude-fat number. Briggs' own barley anchor L*a = 10^-1.52 implies L ~ 2.5 % of FRESH weight. Measured rice straw spans 0.14-1.0 % dry weight as crude fat (ether extract, feed tables) but 3.4 % dry weight as dichloromethane lipophilic extractives (A2) - a 3-24x spread that is a difference of DEFINITION, not of measurement quality. Substituting a proximate value therefore changes what the parameter MEANS, not just its value, and can be worse than the current cited-soybean state. This is the same class of trap as the three basis errors this repo has already hit (Tang fresh/dry, the lipid basis correction, Hwang's unstated basis).",,,,,,
